time[ms],force[N],weight[kg]
30761,-29.46,-3
30845,-29.46,-3
30929,-29.46,-3
31013,-29.46,-3
31097,-19.64,-2
31181,-19.64,-2
31265,-9.82,-1
31348,-9.82,-1
31432,-9.82,-1
31516,-9.82,-1
31600,-9.82,-1
31684,-19.64,-2
31768,-19.64,-2
31851,-19.64,-2
31935,-19.64,-2
32019,-19.64,-2
32103,-19.64,-2
32187,-29.46,-3
32271,-29.46,-3
32355,-29.46,-3
32438,-29.46,-3
32522,-29.46,-3
32606,-29.46,-3
32690,-29.46,-3
32773,-29.46,-3
32857,-29.46,-3
32940,-29.46,-3
33024,-29.46,-3
33108,-29.46,-3
33192,-39.28,-4
33276,-39.28,-4
33360,-39.28,-4
33444,-39.28,-4
33527,-39.28,-4
33611,-39.28,-4
33695,-39.28,-4
33779,-39.28,-4
33863,-39.28,-4
33947,-39.28,-4
34031,-39.28,-4
34114,-39.28,-4
34198,-39.28,-4
34282,-39.28,-4
34366,-49.1,-5
34450,-49.1,-5
34534,-39.28,-4
34617,-39.28,-4
34701,-39.28,-4
34785,-58.92,-6
34869,-127.66,-13
34953,-255.32,-26
35037,-510.64,-52
35120,-1011.46,-103
35203,-1797.06,-183
35287,-2936.1800000000003,-299
35371,-4497.56,-458
35455,-6412.46,-653
35539,-8405.92,-856
35623,-10487.76,-1068
35707,-12618.7,-1285
35790,-14415.76,-1468
35874,-15662.9,-1595
35958,-16507.420000000002,-1681
36042,-16929.68,-1724
36126,-16860.94,-1717
36210,-16566.34,-1687
36294,-16281.560000000001,-1658
36377,-16144.08,-1644
36461,-16036.060000000001,-1633
36545,-15908.4,-1620
36629,-15800.380000000001,-1609
36713,-15721.82,-1601
36797,-15554.880000000001,-1584
36881,-15427.220000000001,-1571
36965,-15358.48,-1564
37048,-15446.86,-1573
37132,-15603.98,-1589
37216,-15810.2,-1610
37300,-16016.42,-1631
37384,-16281.560000000001,-1658
37467,-16477.96,-1678
37551,-16615.44,-1692
37634,-16703.82,-1701
37718,-16811.84,-1712
37802,-16792.2,-1710
37886,-16585.98,-1689
37970,-16330.66,-1663
38054,-16026.24,-1632
38138,-15682.54,-1597
38221,-15495.960000000001,-1578
38305,-15437.04,-1572
38389,-15417.4,-1570
38473,-15456.68,-1574
38557,-15378.12,-1566
38641,-15103.16,-1538
38725,-14887.12,-1516
38808,-14680.9,-1495
38892,-14504.140000000001,-1477
38976,-14386.300000000001,-1465
39060,-14386.300000000001,-1465
39144,-14317.560000000001,-1458
39228,-14229.18,-1449
39312,-14101.52,-1436
39395,-14003.32,-1426
39479,-13905.12,-1416
39563,-13856.02,-1411
39647,-13856.02,-1411
39731,-13875.66,-1413
39815,-13934.58,-1419
39898,-13983.68,-1424
39981,-13973.86,-1423
40065,-13964.04,-1422
40149,-13964.04,-1422
40233,-13973.86,-1423
40317,-13973.86,-1423
40401,-13993.5,-1425
40484,-13954.220000000001,-1421
40568,-13914.94,-1417
40652,-13846.2,-1410
40736,-13856.02,-1411
40820,-13856.02,-1411
40904,-13934.58,-1419
40988,-14003.32,-1426
41071,-14111.34,-1437
41155,-14150.62,-1441
41239,-14199.720000000001,-1446
41323,-14219.36,-1448
41407,-14307.74,-1457
41491,-14405.94,-1467
41575,-14513.960000000001,-1478
41658,-14671.08,-1494
41742,-14700.54,-1497
41826,-14651.44,-1492
41910,-14484.5,-1475
41994,-14356.84,-1462
42078,-14160.44,-1442
42160,-13983.68,-1424
42244,-13728.36,-1398
42328,-13630.16,-1388
42412,-13531.960000000001,-1378
42496,-13384.66,-1363
42580,-13325.74,-1357
42664,-13257.0,-1350
42747,-13139.16,-1338
42831,-13031.140000000001,-1327
42915,-13090.06,-1333
42999,-13178.44,-1342
43083,-13325.74,-1357
43167,-13423.94,-1367
43251,-13482.86,-1373
43334,-13512.32,-1376
43418,-13581.06,-1383
43502,-13708.720000000001,-1396
43586,-13767.640000000001,-1402
43670,-13787.28,-1404
43754,-14032.78,-1429
43838,-14366.66,-1463
43921,-14592.52,-1486
44005,-14808.560000000001,-1508
44089,-15014.78,-1529
44173,-14936.220000000001,-1521
44257,-14612.16,-1488
44341,-14239.0,-1450
44424,-13856.02,-1411
44507,-13492.68,-1374
44591,-13207.9,-1345
44675,-13011.5,-1325
44759,-13001.68,-1324
44843,-13168.62,-1341
44927,-13384.66,-1363
45010,-13571.24,-1382
45094,-13777.460000000001,-1403
45178,-13895.300000000001,-1415
45262,-13983.68,-1424
45346,-14199.720000000001,-1446
45430,-14415.76,-1468
45514,-14582.7,-1485
45598,-14700.54,-1497
45681,-14838.02,-1511
45765,-14798.74,-1507
45849,-14661.26,-1493
45933,-14455.04,-1472
46017,-14150.62,-1441
46101,-13581.06,-1383
46184,-12687.44,-1292
46268,-11371.56,-1158
46352,-9761.08,-994
46436,-8180.06,-833
46520,-6618.68,-674
46604,-5165.32,-526
46688,-4114.58,-419
46771,-3397.7200000000003,-346
46855,-2808.52,-286
46938,-2435.36,-248
47022,-2297.88,-234
47106,-2268.42,-231
47190,-2288.06,-233
47274,-2307.7000000000003,-235
47357,-2278.2400000000002,-232
47441,-2219.32,-226
47525,-2160.4,-220
47609,-2130.94,-217
47693,-2101.48,-214
47777,-2081.84,-212
47861,-2091.66,-213
47944,-2081.84,-212
48028,-1954.18,-199
48112,-1728.3200000000002,-176
48196,-1463.18,-149
48280,-1217.68,-124
48364,-1011.46,-103
