time[ms],force[N],weight[kg]
42993,4006.56,408
43076,4006.56,408
43160,4006.56,408
43244,4006.56,408
43327,4006.56,408
43411,4006.56,408
43495,4006.56,408
43578,4006.56,408
43662,4006.56,408
43746,4006.56,408
43830,4006.56,408
43914,4006.56,408
43998,4006.56,408
44082,4006.56,408
44165,4006.56,408
44249,4006.56,408
44333,4006.56,408
44417,4006.56,408
44501,4006.56,408
44585,4006.56,408
44668,4006.56,408
44752,4006.56,408
44836,4006.56,408
44920,4006.56,408
45004,4006.56,408
45088,4006.56,408
45172,4006.56,408
45255,4006.56,408
45339,4006.56,408
45423,4006.56,408
45507,4006.56,408
45591,4006.56,408
45674,4006.56,408
45757,4006.56,408
45841,4006.56,408
45925,4006.56,408
46009,4006.56,408
46093,4006.56,408
46177,4006.56,408
46261,4006.56,408
46344,4006.56,408
46428,4006.56,408
46512,4006.56,408
46596,4006.56,408
46680,4006.56,408
46764,4006.56,408
46848,4006.56,408
46931,4006.56,408
47015,4006.56,408
47099,4006.56,408
47183,4006.56,408
47267,4006.56,408
47351,4006.56,408
47434,4006.56,408
47518,4006.56,408
47602,4006.56,408
47686,4006.56,408
47770,4006.56,408
47854,4006.56,408
47938,4006.56,408
48020,4006.56,408
48104,4006.56,408
48188,4006.56,408
48272,4006.56,408
48356,4006.56,408
48440,4006.56,408
48524,4006.56,408
48607,4006.56,408
48691,4006.56,408
48775,4006.56,408
48859,4006.56,408
48943,4006.56,408
49027,4006.56,408
49111,4006.56,408
49195,4006.56,408
49278,4006.56,408
49362,4006.56,408
49446,4006.56,408
49530,4006.56,408
49614,4006.56,408
49698,4006.56,408
49782,4006.56,408
49865,4006.56,408
49949,4006.56,408
50033,4006.56,408
50117,4006.56,408
50201,4006.56,408
50285,4006.56,408
50367,4006.56,408
50451,4006.56,408
50535,4006.56,408
50619,4006.56,408
50703,4006.56,408
50787,4006.56,408
50871,4006.56,408
50954,4006.56,408
51038,4006.56,408
51122,4006.56,408
51206,4006.56,408
51290,4006.56,408
51374,4006.56,408
51458,4006.56,408
51541,4006.56,408
51625,4006.56,408
51709,4006.56,408
51793,4006.56,408
51877,4006.56,408
51961,4006.56,408
52044,4006.56,408
52128,4006.56,408
52212,4006.56,408
52296,4006.56,408
52380,4006.56,408
52464,4006.56,408
52548,4006.56,408
52631,4006.56,408
52714,4006.56,408
52798,4006.56,408
52882,4006.56,408
52966,4006.56,408
53050,4006.56,408
53134,4006.56,408
53217,4006.56,408
53301,4006.56,408
53385,4006.56,408
53469,4006.56,408
53553,4006.56,408
53637,4006.56,408
53720,4006.56,408
53804,4006.56,408
53888,4006.56,408
53972,4006.56,408
54056,4006.56,408
54140,4006.56,408
54224,4006.56,408
54307,4006.56,408
54391,4006.56,408
54475,4006.56,408
54559,4006.56,408
54643,4006.56,408
54727,4006.56,408
54811,4006.56,408
54895,4006.56,408
54978,4006.56,408
55062,4006.56,408
55145,4006.56,408
55229,4006.56,408
55313,4006.56,408
55397,4006.56,408
55481,4006.56,408
55565,4006.56,408
55648,4006.56,408
55732,4006.56,408
55816,4006.56,408
55900,4006.56,408
55984,4006.56,408
56068,4006.56,408
56152,4006.56,408
56236,4006.56,408
56319,4006.56,408
56403,4006.56,408
56487,4006.56,408
56571,4006.56,408
56655,4006.56,408
56739,4006.56,408
56823,4006.56,408
56907,4006.56,408
56990,4006.56,408
57074,4006.56,408
57158,4006.56,408
57242,4006.56,408
57326,4006.56,408
57410,4006.56,408
57492,4006.56,408
57576,4006.56,408
57660,4006.56,408
57744,4006.56,408
57828,4006.56,408
57912,4006.56,408
57996,4006.56,408
58079,4006.56,408
58163,4006.56,408
58247,4006.56,408
58331,4006.56,408
58415,4006.56,408
58499,4006.56,408
58583,4006.56,408
58666,4006.56,408
58750,4006.56,408
58834,4006.56,408
58918,4006.56,408
59002,4006.56,408
59086,4006.56,408
59170,4006.56,408
59253,4006.56,408
59337,4006.56,408
59421,4006.56,408
59505,4006.56,408
59589,4006.56,408
59673,4006.56,408
59757,4006.56,408
59839,4006.56,408
59923,4006.56,408
60007,4006.56,408
60091,4006.56,408
60175,4006.56,408
60259,4006.56,408
60343,4006.56,408
60426,4006.56,408
60510,4006.56,408
60594,4006.56,408
60678,4006.56,408
60762,4006.56,408
60846,4006.56,408
60930,4006.56,408
61013,4006.56,408
61097,4006.56,408
61181,4006.56,408
61265,4006.56,408
61349,4006.56,408
61433,4006.56,408
61516,4006.56,408
61600,4006.56,408
61684,4006.56,408
61768,4006.56,408
61852,4006.56,408
61936,4006.56,408
62020,4006.56,408
62103,4006.56,408
62186,4006.56,408
62270,4006.56,408
62354,4006.56,408
62438,4006.56,408
62522,4006.56,408
62606,4006.56,408
62690,4006.56,408
62773,4006.56,408
62857,4006.56,408
62941,4006.56,408
63025,4006.56,408
63109,4006.56,408
63193,4006.56,408
63277,4006.56,408
63360,4006.56,408
63444,4006.56,408
63528,4006.56,408
63612,4006.56,408
63696,4006.56,408
63780,4006.56,408
63864,4006.56,408
63948,4006.56,408
64031,4006.56,408
64115,4006.56,408
64199,4006.56,408
64283,4006.56,408
64367,4006.56,408
64451,4006.56,408
64535,4006.56,408
64617,4006.56,408
64701,4006.56,408
64785,4006.56,408
64869,4006.56,408
64953,4006.56,408
65037,4006.56,408
65121,4006.56,408
65204,4006.56,408
65288,4006.56,408
65372,4006.56,408
65456,4006.56,408
65540,4006.56,408
65624,4006.56,408
65708,4006.56,408
65791,4006.56,408
65875,4006.56,408
65959,4006.56,408
66043,4006.56,408
66127,4006.56,408
66211,4006.56,408
66295,4006.56,408
66379,4006.56,408
66462,4006.56,408
66546,4006.56,408
66630,4006.56,408
66714,4006.56,408
66798,4006.56,408
66882,4006.56,408
66966,4006.56,408
67048,4006.56,408
67132,4006.56,408
67216,4006.56,408
67300,4006.56,408
67384,4006.56,408
67468,4006.56,408
67552,4006.56,408
67636,4006.56,408
67719,4006.56,408
67803,4006.56,408
67887,4006.56,408
67971,4006.56,408
68055,4006.56,408
68139,4006.56,408
68223,4006.56,408
68306,4006.56,408
68390,4006.56,408
68474,4006.56,408
68558,4006.56,408
68642,4006.56,408
68726,4006.56,408
68810,4006.56,408
68893,4006.56,408
68977,4006.56,408
69061,4006.56,408
69145,4006.56,408
69229,4006.56,408
69313,4006.56,408
